# AMS02 new measurement of positron fraction (PRL, 2014, 113, 121101)
# E(GeV) F   Emin Emax Fmin Fmax
0.575 0.0943 0.50 0.65 0.0892226 0.0993774
0.730 0.0917 0.65 0.81 0.0880751 0.0953249
0.905 0.0862 0.81 1.00 0.0835751 0.0888249
1.105 0.0820 1.00 1.21 0.079881 0.084119
1.330 0.0775 1.21 1.45 0.0756318 0.0793682
1.575 0.0724 1.45 1.70 0.0707237 0.0740763
1.835 0.0686 1.70 1.97 0.067144 0.070056
2.125 0.0650 1.97 2.28 0.0637631 0.0662369
2.440 0.0622 2.28 2.60 0.061123 0.063277
2.770 0.0597 2.60 2.94 0.0587513 0.0606487
3.120 0.0576 2.94 3.30 0.0567456 0.0584544
3.500 0.0559 3.30 3.70 0.0551384 0.0566616
3.905 0.0553 3.70 4.11 0.0546292 0.0559708
4.325 0.0539 4.11 4.54 0.0533169 0.0544831
4.770 0.0528 4.54 5.00 0.0523 0.0533
5.250 0.0524 5.00 5.50 0.0519 0.0529
5.750 0.0515 5.50 6.00 0.0510757 0.0519243
6.280 0.0514 6.00 6.56 0.0509757 0.0518243
6.860 0.0511 6.56 7.16 0.0506 0.0516
7.480 0.0506 7.16 7.80 0.0501 0.0511
8.150 0.0509 7.80 8.50 0.0504 0.0514
8.855 0.0514 8.50 9.21 0.0509 0.0519
9.580 0.0513 9.21 9.95 0.0507169 0.0518831
10.34 0.0523 9.95 10.73 0.0517169 0.0528831
11.14 0.0532 10.73 11.54 0.0525292 0.0538708
11.97 0.0546 11.54 12.39 0.0539292 0.0552708
12.83 0.0553 12.39 13.27 0.0546292 0.0559708
13.73 0.0552 13.27 14.19 0.0543938 0.0560062
14.67 0.0558 14.19 15.15 0.0549938 0.0566062
15.65 0.0570 15.15 16.15 0.0561056 0.0578944
16.67 0.0585 16.15 17.18 0.0575151 0.0594849
17.72 0.0601 17.18 18.25 0.059023 0.061177
18.81 0.0596 18.25 19.37 0.058523 0.060677
19.96 0.0625 19.37 20.54 0.061423 0.063577
21.15 0.0617 20.54 21.76 0.0604917 0.0629083
22.42 0.0640 21.76 23.07 0.0627 0.0653
23.76 0.0655 23.07 24.45 0.0641072 0.0668928
25.16 0.0652 24.45 25.87 0.0638072 0.0665928
26.61 0.0662 25.87 27.34 0.0647134 0.0676866
28.11 0.0704 27.34 28.87 0.0687844 0.0720156
29.66 0.0717 28.87 30.45 0.0699912 0.0734088
31.28 0.0719 30.45 32.10 0.0700026 0.0737974
32.95 0.0721 32.10 33.80 0.0701075 0.0740925
34.69 0.0766 33.80 35.57 0.0743864 0.0788136
36.49 0.0732 35.57 37.40 0.0709864 0.0754136
38.70 0.0781 37.40 40.00 0.075981 0.080219
41.70 0.0806 40.00 43.39 0.0783528 0.0828472
45.20 0.0872 43.39 47.01 0.0846702 0.0897298
48.94 0.0840 47.01 50.87 0.0811539 0.0868461
52.93 0.0887 50.87 54.98 0.0857268 0.0916732
57.17 0.0921 54.98 59.36 0.0887474 0.0954526
61.70 0.0933 59.36 64.03 0.0894399 0.0971601
66.52 0.0974 64.03 69.00 0.0933196 0.10148
71.65 0.1069 69.00 74.30 0.102312 0.111488
77.15 0.0963 74.30 80.00 0.0913959 0.101204
83.00 0.1034 80.00 86.00 0.0976026 0.109197
89.25 0.1207 86.00 92.50 0.1142 0.1272
96.25 0.1169 92.50 100.0 0.110348 0.123452
107.6 0.1205 100.0 115.1 0.114706 0.126294
123.6 0.1110 115.1 132.1 0.104277 0.117723
141.8 0.1327 132.1 151.5 0.123805 0.141596
162.5 0.1374 151.5 173.5 0.126908 0.147892
189.8 0.1521 173.5 206.0 0.13998 0.16422
233.0 0.1550 206.0 260.0 0.140023 0.169977
305.0 0.1590 260.0 350.0 0.137635 0.180365
425.0 0.1471 350.0 500.0 0.1132 0.181
